"File","Iter","MarkersBefore","MarkersAfter","BadAfter"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\matriculas\listar.php","1","4","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\grupos\listar.php","1","4","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\email_marketing\email.php","1","4","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cupons\inserir.php","1","4","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\pacotes\listar.php","1","4","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\receber.php","1","4","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\banner_index.php","1","4","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\relatorio_alunos\listar.php","1","4","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\minhas_comissoes.php","1","3","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\check-session.php","1","3","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\gateway\ativar.php","1","3","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\parceiros.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\atendimentos_novo\listar-cur.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\comissoes.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\atendimentos_alunos\listar-cur.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\linguagens.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\alunos\listar-cur.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\relatorio_alunos_responsavel.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\perguntas.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\matriculas_aprovadas.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\vendas.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\tutores.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\banner_login\inserir.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\banner_index\inserir.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cursos\inserir-sessao.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\administradores.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cursos\inserir-alt.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\secretarios\listar-cur.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\tesoureiros\listar-cur.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\css\style.css","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cursos\listar-doc.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\categorias.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\movimentacoes\listar.php","1","2","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cursos\inserir-aulas.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\receber\inserir.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\pacotes\inserir-cursos.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\pagar\inserir.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\js\Chart.bundle.js","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\perguntas\listar-cursos.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\perguntas\listar-respostas.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\perguntas\listar-perguntas.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\grupos\inserir.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cursos\listar-sessao-aulas.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\alunos\queries.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cupons.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\banner_login.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\comissoes\inserir.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\alunos\excluir.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\professores.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\cursos\listar-id-edit.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\certificados\editar.php","1","1","0","0"
"C:\xampp\htdocs\eja\sistema\painel-admin\paginas\alunos\listar.tmp.php","2","0","0","0"
